"","School","Round","Unique_part","M","F"
"1",1,1,61,26,35
"2",1,2,83,30,53
"3",1,3,92,36,56
"4",1,4,70,28,42
"5",2,1,134,57,77
"6",2,2,121,52,69
"7",2,3,141,55,86
"8",2,4,85,33,52
"9",3,1,91,91,0
"10",3,2,67,67,0
"11",3,3,67,67,0
"12",3,4,143,143,0
"13",4,1,25,11,14
"14",4,2,26,9,17
"15",4,3,25,7,18
"16",4,4,21,7,14
